timestamp,year,amountDollars,amountPounts
12/1/2016 17:00,2016,0,0.00
12/1/2016 17:20,2016,38483.86,30584.66
12/1/2016 18:00,2016,68796.4,54675.25
12/1/2016 19:00,2016,106184.74,84389.26
12/1/2016 20:00,2016,133436.23,106047.11
12/1/2016 23:00,2016,248271,197310.89
12/2/2016 1:00,2016,284124.37,225805.00
12/2/2016 11:00,2016,364760.47,289889.74
12/2/2016 14:00,2016,391493.25,311135.35
12/2/2016 15:30,2016,406552.67,323103.67
12/2/2016 17:00,2016,429408.4,341268.03
12/2/2016 20:00,2016,476476.33,378674.80
12/3/2016 1:00,2016,522265.97,415065.66
12/3/2016 17:00,2016,595788.05,473496.59
12/3/2016 20:00,2016,641657.54,509950.91
12/3/2016 23:00,2016,675184.55,536596.17
12/4/2016 1:00,2016,681060.69,541266.17
12/4/2016 14:00,2016,723932.48,575338.10
12/4/2016 17:00,2016,741487.01,589289.39
12/4/2016 20:00,2016,764146.41,607297.72
12/4/2016 23:00,2016,775550.01,616360.61
12/5/2016 1:00,2016,783269.28,622495.43
12/5/2016 10:30,2016,803101.01,638256.50
12/5/2016 11:00,2016,805117.05,639858.72
12/5/2016 14:00,2016,811714.44,645101.93
12/5/2016 16:00,2016,816466.07,648878.24
12/5/2016 17:00,2016,820452.22,652046.20
12/5/2016 20:00,2016,867496.42,689434.10
12/5/2016 23:00,2016,898136,713784.60
12/6/2016 0:00,2016,906750.28,720630.72
12/6/2016 1:00,2016,912143.38,724916.83
12/6/2016 2:00,2016,915631.28,727688.80
12/6/2016 9:00,2016,934395.1,742601.16
12/6/2016 11:00,2016,941018.64,747865.15
12/6/2016 14:00,2016,949355.87,754491.08
12/6/2016 16:00,2016,955682.58,759519.17
12/6/2016 17:00,2016,961162.82,763874.54
12/6/2016 18:00,2016,975277.11,775091.73
12/6/2016 20:00,2016,1005949.76,799468.51
12/6/2016 22:00,2016,1022518.34,812636.23
12/6/2016 23:00,2016,1031353.45,819657.84
12/7/2016 1:00,2016,1041371.38,827619.49
12/7/2016 5:30,2016,1053790.37,837489.36
12/7/2016 11:00,2016,1067272.58,848204.21
12/7/2016 14:00,2016,1076601.24,855618.07
12/7/2016 17:00,2016,1091942.87,867810.68
12/7/2016 20:00,2016,1130055.97,898100.68
12/7/2016 23:00,2016,1168588.11,928723.71
12/8/2016 1:00,2016,1186562.01,943008.29
12/8/2016 11:00,2016,1205350.04,957939.89
12/8/2016 14:00,2016,1213489,964408.25
12/8/2016 17:00,2016,1222019.63,971187.88
12/8/2016 20:00,2016,1242918.04,987796.68
12/8/2016 23:00,2016,1258479.3,1000163.84
12/9/2016 1:00,2016,1261578.35,1002626.78
12/9/2016 11:00,2016,1277909.37,1015605.69
12/9/2016 14:00,2016,1283549.98,1020088.51
12/9/2016 17:00,2016,1295810.78,1029832.66
12/9/2016 20:00,2016,1332751.16,1059190.66
12/9/2016 23:00,2016,1357794.24,1079093.39
12/10/2016 1:00,2016,1374991.27,1092760.56
12/10/2016 11:00,2016,1406958.72,1118166.37
12/10/2016 14:00,2016,1417155.81,1126270.41
12/10/2016 17:00,2016,1438493.05,1143227.97
12/10/2016 17:30,2016,1441720.92,1145793.28
12/10/2016 20:00,2016,1474718.36,1172017.67
12/10/2016 23:00,2016,1507511.71,1198079.86
12/10/2016 23:30,2016,1511299.1,1201089.85
12/11/2016 1:00,2016,1521276.74,1209019.48
12/11/2016 10:00,2016,1534900.47,1219846.80
12/11/2016 14:00,2016,1540588.1,1224366.99
12/11/2016 17:00,2016,1548440.82,1230607.86
12/11/2016 20:00,2016,1558935.1,1238948.08
12/11/2016 21:00,2016,1560651.11,1240311.86
12/12/2016 1:00,2016,1569832.59,1247608.75
12/12/2016 11:00,2016,1579929.71,1255633.34
12/12/2016 14:00,2016,1583851.37,1258750.04
12/12/2016 14:30,2016,1584120.37,1258963.82
12/12/2016 17:00,2016,1587323.13,1261509.18
12/12/2016 20:00,2016,1603229.38,1274150.52
12/12/2016 23:00,2016,1609861.09,1279421.00
12/13/2016 1:00,2016,1617290.31,1285325.30
12/13/2016 11:00,2016,1628087.7,1293906.42
12/13/2016 14:00,2016,1631989.88,1297007.64
12/13/2016 17:00,2016,1636026.06,1300215.35
12/13/2016 20:00,2016,1650627.92,1311820.03
12/13/2016 23:00,2016,1658855.05,1318358.46
12/14/2016 1:00,2016,1663092.48,1321726.12
12/14/2016 2:00,2016,1664371.48,1322742.59
12/14/2016 11:00,2016,1672946.36,1329557.39
12/14/2016 12:00,2016,1673136.36,1329708.39
12/14/2016 14:00,2016,1675404.71,1331511.14
12/14/2016 17:00,2016,1679267.37,1334580.95
12/14/2016 20:00,2016,1689793.45,1342946.45
12/14/2016 23:00,2016,1695505.62,1347486.14
12/15/2016 1:00,2016,1698263.63,1349678.04
12/15/2016 11:00,2016,1708964.79,1358182.68
12/15/2016 14:00,2016,1713213.96,1361559.66
12/15/2016 16:00,2016,1716159.14,1363900.31
12/15/2016 17:00,2016,1718270.47,1365578.27
12/15/2016 20:00,2016,1728747.93,1373905.13
12/15/2016 20:30,2016,1729506.06,1374507.65
12/15/2016 23:00,2016,1736068.86,1379723.37
12/16/2016 1:00,2016,1740456.43,1383210.34
12/16/2016 11:00,2016,1753198.95,1393337.33
12/16/2016 14:00,2016,1757152.37,1396479.27
12/16/2016 17:00,2016,1760982.85,1399523.51
12/16/2016 20:00,2016,1768277.33,1405320.73
12/16/2016 21:30,2016,1781812.43,1416077.61
12/16/2016 23:00,2016,1791675.86,1423916.47
12/17/2016 1:00,2016,1798145.5,1429058.15
12/17/2016 2:00,2016,1799664.84,1430265.63
12/17/2016 11:00,2016,1813713.56,1441430.71
12/17/2016 14:00,2016,1820246.82,1446622.96
12/17/2016 15:30,2016,1823440.82,1449161.36
12/17/2016 17:00,2016,1827661.53,1452515.72
12/17/2016 20:00,2016,1835152.83,1458469.36
12/18/2016 1:00,2016,1861293.62,1479244.49
12/18/2016 6:15,2016,1875055.2,1490181.37
12/18/2016 11:00,2016,1886043.73,1498914.39
12/18/2016 14:00,2016,1894040.86,1505270.03
12/18/2016 15:00,2016,1896532.87,1507250.53
12/18/2016 17:00,2016,1904675.9,1513722.12
12/18/2016 20:00,2016,1924698.25,1529634.69
12/18/2016 23:00,2016,1930418.72,1534180.97
12/19/2016 1:00,2016,1946646.77,1547078.05
12/19/2016 10:30,2016,1964999.51,1561663.71
12/19/2016 11:00,2016,1966949.01,1563213.06
12/19/2016 14:00,2016,1971331.96,1566696.36
12/19/2016 17:00,2016,1979617.74,1573281.40
12/19/2016 20:00,2016,2002007.12,1591075.14
12/19/2016 22:30,2016,2013402.54,1600131.53
12/19/2016 23:00,2016,2016687.91,1602742.55
12/20/2016 1:00,2016,2025024.98,1609368.35
12/20/2016 11:00,2016,2049885.94,1629126.35
12/20/2016 14:00,2016,2056508.52,1634389.58
12/20/2016 17:00,2016,2066079.84,1641996.29
12/20/2016 20:00,2016,2084567.87,1656689.47
12/20/2016 23:00,2016,2101939.66,1670495.53
12/21/2016 1:00,2016,2108914.22,1676038.49
12/21/2016 11:00,2016,2126756.72,1690218.64
12/21/2016 14:00,2016,2131443.54,1693943.44
12/21/2016 17:00,2016,2137357.56,1698643.55
12/21/2016 20:00,2016,2157920.1,1714985.42
12/21/2016 23:00,2016,2165039.76,1720643.70
12/22/2016 1:00,2016,2169648.09,1724306.12
12/22/2016 2:00,2016,2171045.15,1725416.42
12/22/2016 4:30,2016,2174404.44,1728086.18
12/22/2016 11:00,2016,2183583.09,1735380.82
12/22/2016 14:00,2016,2187229.22,1738278.55
12/22/2016 17:00,2016,2192976.26,1742845.95
12/22/2016 19:20,2016,2197567.64,1746494.91
12/22/2016 20:00,2016,2200913.15,1749153.72
12/22/2016 23:00,2016,2211968.8,1757940.08
12/23/2016 1:00,2016,2217645.51,1762451.59
12/23/2016 2:00,2016,2218080.51,1762797.30
12/23/2016 7:45,2016,2228433.38,1771025.14
12/23/2016 11:00,2016,2233548.12,1775090.03
12/23/2016 14:00,2016,2238970.02,1779399.03
12/23/2016 15:30,2016,2242318.73,1782060.39
12/23/2016 17:00,2016,2246095.13,1785061.64
12/23/2016 18:30,2016,2251709.48,1789523.59
12/23/2016 20:00,2016,2256727.71,1793511.78
12/23/2016 23:00,2016,2263551.31,1798934.77
12/24/2016 1:00,2016,2267328.09,1801936.33
12/24/2016 2:00,2016,2268455.11,1802832.01
12/24/2016 5:00,2016,2272238.62,1805838.92
12/24/2016 8:00,2016,2275682.38,1808575.81
12/24/2016 11:00,2016,2280108.41,1812093.36
12/24/2016 14:00,2016,2284626.44,1815684.02
12/24/2016 14:30,2016,2285162.3,1816109.89
12/24/2016 17:00,2016,2288930.02,1819104.24
12/24/2016 20:00,2016,2294663.21,1823660.64
12/24/2016 23:00,2016,2300510.23,1828307.50
12/25/2016 1:00,2016,2304157.46,1831206.10
12/25/2016 2:00,2016,2305227.46,1832056.47
12/25/2016 5:00,2016,2308428.47,1834600.44
12/25/2016 8:00,2016,2310550.48,1836286.89
12/25/2016 11:00,2016,2313639,1838741.46
12/25/2016 14:00,2016,2316804.12,1841256.91
12/25/2016 17:00,2016,2321036.48,1844620.53
12/25/2016 20:00,2016,2327284.6,1849586.16
12/25/2016 22:10,2016,2331080.61,1852603.00
12/25/2016 23:00,2016,2332886.62,1854038.31
12/26/2016 1:00,2016,2337222.91,1857484.54
12/26/2016 2:00,2016,2338184.86,1858249.04
12/26/2016 5:00,2016,2341785.16,1861110.34
12/26/2016 8:00,2016,2344377.18,1863170.32
12/26/2016 11:00,2016,2347279.18,1865476.66
12/26/2016 14:00,2016,2350862.93,1868324.80
12/26/2016 17:00,2016,2355375,1871910.73
12/26/2016 20:00,2016,2360774.24,1876201.72
12/26/2016 23:00,2016,2365938.26,1880305.77
12/27/2016 1:00,2016,2369067.08,1882792.37
12/27/2016 2:00,2016,2370197.08,1883690.43
12/27/2016 5:00,2016,2373370.68,1886212.61
12/27/2016 5:30,2016,2373521.09,1886332.15
12/27/2016 11:00,2016,2378117.85,1889985.38
12/27/2016 14:00,2016,2379759.6,1891290.14
12/27/2016 17:00,2016,2383761.25,1894470.42
12/27/2016 18:00,2016,2385019.59,1895470.47
